SMILES,P(Act),Unnamed: 2
CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,5.876148359,
CCC(=O)N(Cc1ccc2ccccc2c1)C1CCNCC1,5.886056648,
CNC1CC=C(c2c[nH]c3ccc(NC(=N)c4cccs4)cc23)CC1,5.886056648,
CSc1ccc(Cc2ccccc2CN(C)C)cc1,5.886056648,
CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccccc3)s1)[C@@H](c1ccc(Cl)cc1)C2,5.887730232,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)OC)cc21,5.903089987,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21,5.903089987,
CCCCCCCCCc1ccc(O)cc1,5.903437562,
CC(C)N(C)[C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,5.911863911,
[C-]#[N+]c1ccc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)C2)cc1,5.917573699,
c1cnc(N(Cc2ccc3ccccc3c2)C2CCNCC2)nc1,5.920818754,
CC(c1ccc(Cl)cc1)C1CCCCN1,5.92142236,
O=C1NCC(c2ccc(Cl)cc2)C1c1ccc2ccccc2c1,5.925549281,
Clc1ccc(C(C2CCCC2)C2CCCCN2)cc1,5.927750102,
CCOc1ccc(C2(C(CC(C)C)NCCOC(=O)CC)CCC2)cc1,5.930757528,
COc1ccc(F)cc1C[C@@H]1CC[C@H](CCN)O1,5.935729247,
O=C(c1ccccc1C(F)(F)F)N(CC1CCC1)[C@@H]1CCNC1,5.950781977,
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,5.954090533,
COC(=O)[C@H]1[C@@H](c2ccc(OC)cc2)C[C@H]2CC[C@H]1N2C,5.954677021,
Cc1ccccc1O[C@H]1C[C@@H](N(C)C(C)C)c2ccccc21,5.958607315,
CN(C)Cc1cc(S(N)(=O)=O)ccc1Cc1ccc(Cl)c(Cl)c1,5.978810701,
Cc1ccc(-c2cc([C@@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)on2)cc1,5.987162775,
CCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C,5.995678626,
Fc1cccc(Cl)c1Oc1cccc(F)c1O[C@H]1CCNC1,5.995678626,
CNC[C@@H]1OCc2ccccc2[C@H]1Oc1ccccc1C,6.0,
COCC[C@H]1[C@@]2(c3ccc(Cl)c(Cl)c3)CNC[C@]12C,6.0,
COc1ccc(CC(C)(C)NCC(O)COc2cccc(Cl)c2C#N)cc1,6.0,
COc1ccc(N2CCN(CCCNC(=O)Cn3c(=O)c4cccn4c4c(C)ccnc43)CC2)cc1,6.0,
Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,6.0,
N#Cc1ccc(CN(c2ccc3[nH]ccc3c2)C2CCNCC2)cc1,6.0,
Fc1ccc(C(N[C@@H]2C[C@@H]3CC[C@H](C2)N3)c2ccc(F)cc2)cc1,6.001304842,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CO)cc21,6.008773924,
CNC(CC(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,6.017728767,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,6.019996628,
CC(=O)c1cccc(NC(=O)N[C@@H]2CCCC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)c1,6.022276395,
Cc1ccccc1O[C@@H]1CC[C@@H](N)c2ccccc21,6.022276395,
CN(C)Cc1ccccc1Sc1ccc(CCF)cc1N,6.024017056,
CNC[C@@H]1CCCC[C@@]1(OC)c1cccc(OC)c1,6.046723663,
COc1ccccc1N1CCN(CCCN2CCC(Cc3ccccc3)CC2)CC1,6.050609993,
CCOc1c(Cl)cccc1OC(c1ccccc1)C1CNCCO1,6.054285286,
CN(C)C1CC=C(c2c[nH]c3ccc(NC(=N)c4cccs4)cc23)CC1,6.060480747,
O=C1NCC(c2ccc(Cl)c(Cl)c2)C1c1ccccc1,6.062632582,
N[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,6.068033885,
CNC(C)Cc1ccc2c(c1)OCO2,6.075383749,
Cc1ccccc1O[C@H]1C[C@H](N)c2ccccc21,6.075720714,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,6.093514113,
O=C1NC2C=CC(c3ccc4c(c3)CN3CCC4(c4ccc(Cl)cc4)CC3)=CC2O1,6.093718844,
COc1ccc2cc(C(O)CCN3CCC(O)(Cc4ccccc4)CC3)ccc2c1Cl,6.096910013,
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,6.106238238,
CNC[C@@]1(O)Cc2ccccc2[C@H]1Oc1ccccc1C,6.113509275,
